time,open,high,low,close
2012-07-18,9.06,9.2,8.76,8.76
2012-07-19,8.76,8.76,7.93,8.44
2012-07-20,8.52,8.91,8.2,8.74
2012-07-21,8.74,8.8,8.3,8.42
2012-07-22,8.42,8.88,8.1,8.59
2012-07-23,8.59,8.8,8.25,8.61
2012-07-24,8.59,8.64,8.24,8.64
2012-07-25,8.64,8.83,8.45,8.75
2012-07-26,8.76,8.91,8.76,8.83
2012-07-27,8.83,9,8.78,8.88
2012-07-28,8.79,8.79,8.7,8.71
2012-07-29,8.7,9,8.54,9
2012-07-30,9,9.28,8.92,9.28
2012-07-31,9.28,9.5,8.9,9.45
2012-08-01,9.45,10.52,9.4,10.44
2012-08-02,10.4,12,10.1,10.79
2012-08-03,10.96,11.2,10.5,10.51
2012-08-04,10.93,10.93,10.29,10.71
2012-08-05,10.71,10.99,10.43,10.84
2012-08-06,10.86,10.87,10.72,10.75
2012-08-07,10.75,11.04,10.7,10.99
2012-08-08,11,12.49,10.79,11
2012-08-09,11,11.5,10.9,11.32
2012-08-10,11.32,11.4,11.25,11.38
2012-08-11,11.4,11.69,11.34,11.49
2012-08-12,11.42,11.98,11.4,11.89
2012-08-13,11.9,12.3,11.81,12.25
2012-08-14,12.13,13.2,12.13,13.01
2012-08-15,13.14,13.5,12.75,13.42
2012-08-16,13.49,16.41,11.5,12.5
2012-08-17,12.64,12.99,11.11,11.54
2012-08-18,11.86,11.86,7.1,8.06
2012-08-19,8.09,10.33,7.86,10.05
2012-08-20,9.79,10.51,9.53,10.18
2012-08-21,9.99,10.71,9.75,9.96
2012-08-22,9.96,10.19,9.78,10.02
2012-08-23,10.03,10.51,9.83,10.37
2012-08-24,10.45,10.58,10.14,10.57
2012-08-25,10.57,10.62,10.2,10.31
2012-08-26,10.31,11.93,10.31,10.78
2012-08-27,10.9,11.21,10.63,11
2012-08-28,11,11.05,10.49,10.78
2012-08-29,10.81,10.91,10.51,10.65
2012-08-30,10.65,10.8,9.69,10.16
2012-08-31,10.2,10.2,9.85,9.91
2012-09-01,10.07,10.18,9.49,10.18
2012-09-02,10.17,10.55,9.95,10.55
2012-09-03,10.36,10.5,10.14,10.36
2012-09-04,10.38,10.99,10.12,10.99
2012-09-05,10.9,11.15,10.68,11.02
2012-09-06,11.03,11.1,10.83,11.03
2012-09-07,10.98,11.11,10.3,10.97
2012-09-08,10.97,11.04,10.84,10.98
2012-09-09,10.85,11.08,10.74,10.95
2012-09-10,10.95,11.04,10.38,11.04
2012-09-11,11.04,11.14,10.75,11.14
2012-09-12,11.17,11.42,10.98,11.3
2012-09-13,11.26,11.7,11.05,11.5
2012-09-14,11.6,11.65,11.35,11.63
2012-09-15,11.63,11.8,11.53,11.75
2012-09-16,11.75,11.88,11.58,11.85
2012-09-17,11.85,12.28,11.67,11.91
2012-09-18,11.9,12.5,11.9,12.32
2012-09-19,12.44,12.66,12.28,12.28
2012-09-20,12.29,12.35,12.01,12.19
2012-09-21,12.14,12.25,11.97,11.97
2012-09-22,12.11,12.11,11.79,11.99
2012-09-23,11.99,11.99,11.69,11.9
2012-09-24,11.9,12.18,11.56,11.75
2012-09-25,11.8,12.2,11.53,12.2
2012-09-26,12.2,12.38,11.84,12.22
2012-09-27,12.21,12.28,11.53,12.28
2012-09-28,12.28,12.28,12.12,12.28
